"cd"
"279"	"MA01"
"280"	"FL03"
"281"	"MS03"
"282"	"NY12"
"283"	"KS02"
"284"	"PA12"
"285"	"WV01"
"286"	"KY06"
"287"	"NJ08"
"288"	"TX13"
"289"	"PA05"
"290"	"IL13"
"291"	"KY04"
"292"	"TX29"
"293"	"MO02"
"294"	"PA16"
"295"	"KY01"
"296"	"TN06"
"297"	"LA03"
"298"	"DC11"
"299"	"OR04"
"300"	"NH03"
"301"	"TX25"
"302"	"VA01"
"303"	"HI01"
"304"	"CA11"
"305"	"TN01"
"306"	"CA12"
"307"	"NY11"
"308"	"NC02"
"309"	"MO07"
"310"	"MI09"
"311"	"TX16"
"312"	"WA06"
"313"	"NJ04"
"314"	"WV02"
"315"	"GA01"
"316"	"PA02"
"317"	"FL11"
"318"	"NJ02"
"319"	"IN08"
"320"	"LA01"
"321"	"FL17"
"322"	"NJ06"
"323"	"FL16"
"324"	"SC02"
"325"	"NY07"
"326"	"OR02"
"327"	"TX31"
"328"	"IL17"
"329"	"GA06"
"330"	"WV03"
"331"	"CA10"
"332"	"VA07"
"333"	"NY16"
"334"	"NY28"
"335"	"KY05"
"336"	"GA04"
"337"	"CO02"
"338"	"LA07"
"339"	"WI01"
"340"	"CO05"
"341"	"OH25"
"342"	"DC01"
"343"	"MN08"
"344"	"CA16"
"345"	"UT02"
"346"	"WA02"
"347"	"WI08"
"348"	"NJ13"
"349"	"MA04"
"350"	"PA17"
"351"	"NJ12"
"352"	"TX09"
"353"	"IN04"
"354"	"MO06"
"355"	"OH16"
"356"	"NV01"
"357"	"NC04"
"358"	"CA45"
"359"	"MN06"
"360"	"CA05"
"361"	"IN09"
"362"	"NY09"
"363"	"OH02"
"364"	"SD01"
"365"	"IA04"
"366"	"RI01"
"367"	"CT09"
"368"	"AL07"
"369"	"NE02"
"370"	"MO04"
"371"	"IL02"
"372"	"MN03"
"373"	"SC06"
"374"	"TX01"
"375"	"WA03"
"376"	"NV03"
"377"	"MI06"
"378"	"IL12"
"379"	"FL06"
"380"	"IL19"
"381"	"ME01"
"382"	"CA20"
"383"	"VA06"
"384"	"MS01"
"385"	"SC05"
"386"	"KS01"
"387"	"IL05"
"388"	"NM03"
"389"	"NY17"
"390"	"NY19"
"391"	"TX05"
"392"	"VA24"
"393"	"OH06"
"394"	"FL05"
"395"	"NY20"
"396"	"MA10"
"397"	"OK09"
"398"	"TX37"
"399"	"NY13"
"400"	"IL18"
"401"	"OH18"
"402"	"CA18"
"403"	"CA02"
"404"	"CA01"
"405"	"SC01"
"406"	"AR03"
"407"	"CA07"
"408"	"NC01"
"409"	"PA11"
"410"	"IL11"
"411"	"WY01"
"412"	"CO01"
"413"	"IN06"
"414"	"MN01"
"415"	"NY21"
"416"	"KY02"
"417"	"MI14"
"418"	"CO03"
"419"	"TN08"
"420"	"NC10"
"421"	"VA11"
"422"	"MO08"
